ligue,journee,date,heure,equipe1,equipe2,score_equipe1_final,score_equipe2_final
fr.1,Matchday 18,2025-01-17,19:00,Montpellier HSC,AS Monaco FC,2,1
fr.1,Matchday 18,2025-01-17,21:05,Lille OSC,OGC Nice,2,1
fr.1,Matchday 18,2025-01-18,17:00,Racing Club de Lens,Paris Saint-Germain FC,1,2
fr.1,Matchday 18,2025-01-18,19:00,Stade Rennais FC 1901,Stade Brestois 29,1,2
fr.1,Matchday 18,2025-01-18,21:05,Olympique Lyonnais,Toulouse FC,0,0
fr.1,Matchday 18,2025-01-19,15:00,AS Saint-Étienne,FC Nantes,1,1
fr.1,Matchday 18,2025-01-19,17:15,Stade de Reims,Le Havre AC,1,1
fr.1,Matchday 18,2025-01-19,17:15,Angers SCO,AJ Auxerre,2,0
fr.1,Matchday 18,2025-01-19,20:45,Olympique de Marseille,RC Strasbourg Alsace,1,1
fr.1,Matchday 19,2025-01-24,20:45,AJ Auxerre,AS Saint-Étienne,1,1
fr.1,Matchday 19,2025-01-25,17:00,AS Monaco FC,Stade Rennais FC 1901,3,2
fr.1,Matchday 19,2025-01-25,19:00,RC Strasbourg Alsace,Lille OSC,2,1
fr.1,Matchday 19,2025-01-25,21:05,Paris Saint-Germain FC,Stade de Reims,1,1
fr.1,Matchday 19,2025-01-26,15:00,Le Havre AC,Stade Brestois 29,0,1
fr.1,Matchday 19,2025-01-26,17:15,FC Nantes,Olympique Lyonnais,1,1
fr.1,Matchday 19,2025-01-26,17:15,Toulouse FC,Montpellier HSC,1,2
fr.1,Matchday 19,2025-01-26,17:15,Racing Club de Lens,Angers SCO,1,0
fr.1,Matchday 19,2025-01-26,20:45,OGC Nice,Olympique de Marseille,2,0
fr.1,Matchday 20,2025-01-31,20:45,Montpellier HSC,Racing Club de Lens,0,2
fr.1,Matchday 20,2025-02-01,17:00,Stade Brestois 29,Paris Saint-Germain FC,2,5
fr.1,Matchday 20,2025-02-01,19:00,AS Monaco FC,AJ Auxerre,4,2
fr.1,Matchday 20,2025-02-01,21:05,Lille OSC,AS Saint-Étienne,4,1
fr.1,Matchday 20,2025-02-02,15:00,Toulouse FC,OGC Nice,1,1
fr.1,Matchday 20,2025-02-02,17:15,Stade de Reims,FC Nantes,1,2
fr.1,Matchday 20,2025-02-02,17:15,Angers SCO,Le Havre AC,1,1
fr.1,Matchday 20,2025-02-02,17:15,Stade Rennais FC 1901,RC Strasbourg Alsace,1,0
fr.1,Matchday 20,2025-02-02,20:45,Olympique de Marseille,Olympique Lyonnais,3,2
fr.1,Matchday 21,2025-02-07,19:00,FC Nantes,Stade Brestois 29,0,2
fr.1,Matchday 21,2025-02-07,21:05,Paris Saint-Germain FC,AS Monaco FC,4,1
fr.1,Matchday 21,2025-02-08,17:00,OGC Nice,Racing Club de Lens,2,0
fr.1,Matchday 21,2025-02-08,19:00,Lille OSC,Le Havre AC,1,2
fr.1,Matchday 21,2025-02-08,21:05,AS Saint-Étienne,Stade Rennais FC 1901,0,2
fr.1,Matchday 21,2025-02-09,15:00,Olympique Lyonnais,Stade de Reims,4,0
fr.1,Matchday 21,2025-02-09,17:15,AJ Auxerre,Toulouse FC,2,2
fr.1,Matchday 21,2025-02-09,17:15,RC Strasbourg Alsace,Montpellier HSC,2,0
fr.1,Matchday 21,2025-02-09,20:45,Angers SCO,Olympique de Marseille,0,2
fr.1,Matchday 22,2025-02-14,20:45,Stade Brestois 29,AJ Auxerre,2,2
fr.1,Matchday 22,2025-02-15,17:00,Olympique de Marseille,AS Saint-Étienne,5,1
fr.1,Matchday 22,2025-02-15,19:00,AS Monaco FC,FC Nantes,7,1
fr.1,Matchday 22,2025-02-15,21:05,Toulouse FC,Paris Saint-Germain FC,0,1
fr.1,Matchday 22,2025-02-16,15:00,Montpellier HSC,Olympique Lyonnais,1,4
fr.1,Matchday 22,2025-02-16,17:15,Racing Club de Lens,RC Strasbourg Alsace,0,2
fr.1,Matchday 22,2025-02-16,17:15,Stade de Reims,Angers SCO,0,1
fr.1,Matchday 22,2025-02-16,17:15,Le Havre AC,OGC Nice,1,3
fr.1,Matchday 22,2025-02-16,20:45,Stade Rennais FC 1901,Lille OSC,0,2
fr.1,Matchday 23,2025-02-21,20:45,Stade Rennais FC 1901,Stade de Reims,1,0
fr.1,Matchday 23,2025-02-22,17:00,Lille OSC,AS Monaco FC,2,1
fr.1,Matchday 23,2025-02-22,19:00,AS Saint-Étienne,Angers SCO,3,3
fr.1,Matchday 23,2025-02-22,21:05,AJ Auxerre,Olympique de Marseille,3,0
fr.1,Matchday 23,2025-02-23,15:00,FC Nantes,Racing Club de Lens,3,1
fr.1,Matchday 23,2025-02-23,17:15,Le Havre AC,Toulouse FC,1,4
fr.1,Matchday 23,2025-02-23,17:15,RC Strasbourg Alsace,Stade Brestois 29,0,0
fr.1,Matchday 23,2025-02-23,17:15,OGC Nice,Montpellier HSC,2,0
fr.1,Matchday 23,2025-02-23,20:45,Olympique Lyonnais,Paris Saint-Germain FC,2,3
fr.1,Matchday 24,2025-02-28,20:45,AS Monaco FC,Stade de Reims,3,0
fr.1,Matchday 24,2025-03-01,17:00,AS Saint-Étienne,OGC Nice,1,3
fr.1,Matchday 24,2025-03-01,19:00,Racing Club de Lens,Le Havre AC,3,4
fr.1,Matchday 24,2025-03-01,21:05,Paris Saint-Germain FC,Lille OSC,4,1
fr.1,Matchday 24,2025-03-02,15:00,Olympique Lyonnais,Stade Brestois 29,2,1
fr.1,Matchday 24,2025-03-02,17:15,Montpellier HSC,Stade Rennais FC 1901,0,4
fr.1,Matchday 24,2025-03-02,17:15,AJ Auxerre,RC Strasbourg Alsace,0,1
fr.1,Matchday 24,2025-03-02,17:15,Angers SCO,Toulouse FC,0,4
fr.1,Matchday 24,2025-03-02,20:45,Olympique de Marseille,FC Nantes,2,0
fr.1,Matchday 25,2025-03-07,20:45,Toulouse FC,AS Monaco FC,1,1
fr.1,Matchday 25,2025-03-08,17:00,Stade Rennais FC 1901,Paris Saint-Germain FC,1,4
fr.1,Matchday 25,2025-03-08,19:00,Lille OSC,Montpellier HSC,1,0
fr.1,Matchday 25,2025-03-08,21:05,Olympique de Marseille,Racing Club de Lens,0,1
fr.1,Matchday 25,2025-03-09,15:00,Stade Brestois 29,Angers SCO,2,0
fr.1,Matchday 25,2025-03-09,17:15,Le Havre AC,AS Saint-Étienne,1,1
fr.1,Matchday 25,2025-03-09,17:15,Stade de Reims,AJ Auxerre,0,2
fr.1,Matchday 25,2025-03-09,17:15,FC Nantes,RC Strasbourg Alsace,0,1
fr.1,Matchday 25,2025-03-09,20:45,OGC Nice,Olympique Lyonnais,0,2
fr.1,Matchday 26,2025-03-14,20:45,OGC Nice,AJ Auxerre,1,1
fr.1,Matchday 26,2025-03-15,17:00,FC Nantes,Lille OSC,1,0
fr.1,Matchday 26,2025-03-15,19:00,Angers SCO,AS Monaco FC,0,2
fr.1,Matchday 26,2025-03-15,21:05,Racing Club de Lens,Stade Rennais FC 1901,1,0
fr.1,Matchday 26,2025-03-16,15:00,Olympique Lyonnais,Le Havre AC,4,2
fr.1,Matchday 26,2025-03-16,17:15,Montpellier HSC,AS Saint-Étienne,0,2
fr.1,Matchday 26,2025-03-16,17:15,Stade Brestois 29,Stade de Reims,0,0
fr.1,Matchday 26,2025-03-16,17:15,RC Strasbourg Alsace,Toulouse FC,2,1
fr.1,Matchday 26,2025-03-16,20:45,Paris Saint-Germain FC,Olympique de Marseille,3,1
fr.1,Matchday 27,2025-03-28,20:45,RC Strasbourg Alsace,Olympique Lyonnais,4,2
fr.1,Matchday 27,2025-03-29,17:00,Stade de Reims,Olympique de Marseille,3,1
fr.1,Matchday 27,2025-03-29,19:00,AS Saint-Étienne,Paris Saint-Germain FC,1,6
fr.1,Matchday 27,2025-03-29,21:05,AS Monaco FC,OGC Nice,2,1
fr.1,Matchday 27,2025-03-30,15:00,Toulouse FC,Stade Brestois 29,2,4
fr.1,Matchday 27,2025-03-30,17:15,Angers SCO,Stade Rennais FC 1901,0,3
fr.1,Matchday 27,2025-03-30,17:15,AJ Auxerre,Montpellier HSC,1,0
fr.1,Matchday 27,2025-03-30,17:15,Le Havre AC,FC Nantes,3,2
fr.1,Matchday 27,2025-03-30,20:45,Lille OSC,Racing Club de Lens,1,0
fr.1,Matchday 28,2025-04-04,20:45,OGC Nice,FC Nantes,1,2
fr.1,Matchday 28,2025-04-05,17:00,Paris Saint-Germain FC,Angers SCO,1,0
fr.1,Matchday 28,2025-04-05,19:00,Stade Brestois 29,AS Monaco FC,2,1
fr.1,Matchday 28,2025-04-05,21:05,Olympique Lyonnais,Lille OSC,2,1
fr.1,Matchday 28,2025-04-06,15:00,Racing Club de Lens,AS Saint-Étienne,1,0
fr.1,Matchday 28,2025-04-06,17:15,Montpellier HSC,Le Havre AC,0,2
fr.1,Matchday 28,2025-04-06,17:15,Stade de Reims,RC Strasbourg Alsace,0,1
fr.1,Matchday 28,2025-04-06,17:15,Stade Rennais FC 1901,AJ Auxerre,0,1
fr.1,Matchday 28,2025-04-06,20:45,Olympique de Marseille,Toulouse FC,3,2
fr.1,Matchday 29,2025-04-11,20:45,Racing Club de Lens,Stade de Reims,0,2
fr.1,Matchday 29,2025-04-12,17:00,AS Monaco FC,Olympique de Marseille,3,0
fr.1,Matchday 29,2025-04-12,19:00,Toulouse FC,Lille OSC,1,2
fr.1,Matchday 29,2025-04-12,21:05,RC Strasbourg Alsace,OGC Nice,2,2
fr.1,Matchday 29,2025-04-13,15:00,AS Saint-Étienne,Stade Brestois 29,3,3
fr.1,Matchday 29,2025-04-13,17:15,Le Havre AC,Stade Rennais FC 1901,1,5
fr.1,Matchday 29,2025-04-13,17:15,Angers SCO,Montpellier HSC,2,0
fr.1,Matchday 29,2025-04-13,20:45,AJ Auxerre,Olympique Lyonnais,1,3
fr.1,Matchday 30,2025-04-18,20:45,Stade Rennais FC 1901,FC Nantes,2,1
fr.1,Matchday 30,2025-04-19,17:00,Paris Saint-Germain FC,Le Havre AC,2,1
fr.1,Matchday 30,2025-04-19,19:00,AS Monaco FC,RC Strasbourg Alsace,0,0
fr.1,Matchday 30,2025-04-19,21:05,Olympique de Marseille,Montpellier HSC,5,1
fr.1,Matchday 30,2025-04-20,15:00,Lille OSC,AJ Auxerre,3,1
fr.1,Matchday 30,2025-04-20,17:15,OGC Nice,Angers SCO,2,1
fr.1,Matchday 30,2025-04-20,17:15,Stade Brestois 29,Racing Club de Lens,1,3
fr.1,Matchday 30,2025-04-20,17:15,Stade de Reims,Toulouse FC,1,0
fr.1,Matchday 30,2025-04-20,20:45,AS Saint-Étienne,Olympique Lyonnais,2,1
fr.1,Matchday 29,2025-04-22,20:45,FC Nantes,Paris Saint-Germain FC,1,1
fr.1,Matchday 31,2025-04-25,20:45,Paris Saint-Germain FC,OGC Nice,1,3
fr.1,Matchday 31,2025-04-26,17:00,RC Strasbourg Alsace,AS Saint-Étienne,3,1
fr.1,Matchday 31,2025-04-26,19:00,Le Havre AC,AS Monaco FC,1,1
fr.1,Matchday 31,2025-04-26,21:05,Olympique Lyonnais,Stade Rennais FC 1901,4,1
fr.1,Matchday 31,2025-04-27,15:00,Angers SCO,Lille OSC,0,2
fr.1,Matchday 31,2025-04-27,17:15,FC Nantes,Toulouse FC,0,0
fr.1,Matchday 31,2025-04-27,17:15,Montpellier HSC,Stade de Reims,0,0
fr.1,Matchday 31,2025-04-27,17:15,Racing Club de Lens,AJ Auxerre,0,4
fr.1,Matchday 31,2025-04-27,20:45,Olympique de Marseille,Stade Brestois 29,4,1
fr.1,Matchday 32,2025-05-02,20:45,OGC Nice,Stade de Reims,1,0
fr.1,Matchday 32,2025-05-03,17:00,RC Strasbourg Alsace,Paris Saint-Germain FC,2,1
fr.1,Matchday 32,2025-05-03,19:00,Toulouse FC,Stade Rennais FC 1901,2,1
fr.1,Matchday 32,2025-05-03,21:05,AS Saint-Étienne,AS Monaco FC,1,3
fr.1,Matchday 32,2025-05-04,15:00,FC Nantes,Angers SCO,0,1
fr.1,Matchday 32,2025-05-04,17:15,Olympique Lyonnais,Racing Club de Lens,1,2
fr.1,Matchday 32,2025-05-04,17:15,Stade Brestois 29,Montpellier HSC,1,0
fr.1,Matchday 32,2025-05-04,17:15,AJ Auxerre,Le Havre AC,1,2
fr.1,Matchday 32,2025-05-04,20:45,Lille OSC,Olympique de Marseille,1,1
fr.1,Matchday 33,2025-05-10,21:00,Stade de Reims,AS Saint-Étienne,0,2
fr.1,Matchday 33,2025-05-10,21:00,AJ Auxerre,FC Nantes,1,1
fr.1,Matchday 33,2025-05-10,21:00,Angers SCO,RC Strasbourg Alsace,2,1
fr.1,Matchday 33,2025-05-10,21:00,Le Havre AC,Olympique de Marseille,1,3
fr.1,Matchday 33,2025-05-10,21:00,Stade Rennais FC 1901,OGC Nice,2,0
fr.1,Matchday 33,2025-05-10,21:00,Montpellier HSC,Paris Saint-Germain FC,1,4
fr.1,Matchday 33,2025-05-10,21:00,Toulouse FC,Racing Club de Lens,1,1
fr.1,Matchday 33,2025-05-10,21:00,Stade Brestois 29,Lille OSC,2,0
fr.1,Matchday 33,2025-05-10,21:00,AS Monaco FC,Olympique Lyonnais,2,0
fr.1,Matchday 34,2025-05-17,21:00,Olympique de Marseille,Stade Rennais FC 1901,4,2
fr.1,Matchday 34,2025-05-17,21:00,Olympique Lyonnais,Angers SCO,2,0
fr.1,Matchday 34,2025-05-17,21:00,OGC Nice,Stade Brestois 29,6,0
fr.1,Matchday 34,2025-05-17,21:00,AS Saint-Étienne,Toulouse FC,2,3
fr.1,Matchday 34,2025-05-17,21:00,Lille OSC,Stade de Reims,2,1
fr.1,Matchday 34,2025-05-17,21:00,RC Strasbourg Alsace,Le Havre AC,2,3
fr.1,Matchday 34,2025-05-17,21:00,FC Nantes,Montpellier HSC,3,0
fr.1,Matchday 34,2025-05-17,21:00,Racing Club de Lens,AS Monaco FC,4,0
fr.1,Matchday 34,2025-05-17,21:00,Paris Saint-Germain FC,AJ Auxerre,3,1
